iter	Passed	Remaining
0	48	48067
1	48	24356
2	49	16415
3	50	12472
4	50	10123
5	51	8510
6	52	7468
7	54	6754
8	54	6044
9	55	5475
10	56	5082
11	57	4707
12	57	4371
13	57	4084
14	58	3835
15	58	3612
16	60	3518
17	61	3346
18	61	3189
19	62	3049
20	62	2922
21	64	2845
22	64	2733
23	64	2630
24	65	2541
25	65	2453
26	65	2375
27	66	2303
28	66	2232
29	67	2170
30	67	2112
31	67	2054
32	68	2003
33	68	1954
34	69	1906
35	69	1864
36	70	1824
37	70	1782
38	70	1747
39	71	1712
40	71	1677
41	72	1645
42	72	1616
43	72	1584
44	73	1557
45	73	1531
46	74	1503
47	74	1479
48	75	1457
49	75	1432
50	75	1411
51	76	1391
52	76	1369
53	77	1350
54	77	1332
55	77	1312
56	78	1295
57	78	1279
58	79	1262
59	79	1245
60	79	1231
61	80	1217
62	80	1203
63	81	1188
64	81	1173
65	82	1160
66	82	1148
67	82	1134
68	83	1122
69	83	1111
70	84	1100
71	84	1088
72	84	1077
73	85	1066
74	85	1055
75	85	1045
76	86	1036
77	86	1025
78	87	1016
79	87	1008
80	87	998
81	88	989
82	88	978
83	89	970
84	89	962
85	89	953
86	90	946
87	90	939
88	91	938
89	94	958
90	95	951
91	95	944
92	97	955
93	98	948
94	98	941
95	99	935
96	102	955
97	103	949
98	104	948
99	104	942
100	105	936
101	105	933
102	106	927
103	106	920
104	107	914
105	107	908
106	108	901
107	108	895
108	108	889
109	109	883
110	109	877
111	109	871
112	110	865
113	110	859
114	111	854
115	111	848
116	111	842
117	112	837
118	112	831
119	112	827
120	113	823
121	113	818
122	114	814
123	114	809
124	114	804
125	115	799
126	115	793
127	115	789
128	116	784
129	116	780
130	116	775
131	117	770
132	117	766
133	117	762
134	118	757
135	118	753
136	118	749
137	119	744
138	119	740
139	119	737
140	120	733
141	120	728
142	120	724
143	121	721
144	121	717
145	122	713
146	122	710
147	122	708
148	123	704
149	123	702
150	124	699
151	125	697
152	125	694
153	126	692
154	126	689
155	126	686
156	127	683
157	127	679
158	127	676
159	128	673
160	128	671
161	129	669
162	129	666
163	130	664
164	130	661
165	131	658
166	131	655
167	131	652
168	132	650
169	132	648
170	133	645
171	133	642
172	134	642
173	134	639
174	135	637
175	135	634
176	135	631
177	136	629
178	136	627
179	137	624
180	137	623
181	138	620
182	138	619
183	139	617
184	139	614
185	140	612
186	140	611
187	141	609
188	141	608
189	142	606
190	142	605
191	143	603
192	143	601
193	144	600
194	145	599
195	145	597
196	146	595
197	147	595
198	147	594
199	148	592
200	148	590
201	148	588
202	149	586
203	149	584
204	150	582
205	150	581
206	151	580
207	151	577
208	152	576
209	152	574
210	153	572
211	153	569
212	153	568
213	154	566
214	154	565
215	155	564
216	155	562
217	156	560
218	156	558
219	157	556
220	157	554
221	157	553
222	158	551
223	158	550
224	159	548
225	159	546
226	160	544
227	160	543
228	160	541
229	161	539
230	162	540
231	162	538
232	162	536
233	163	534
234	163	533
235	164	531
236	164	529
237	164	527
238	165	526
239	165	525
240	166	523
241	166	521
242	166	520
243	167	518
244	167	516
245	168	515
246	168	513
247	168	511
248	169	509
249	169	508
250	169	506
251	170	505
252	170	503
253	171	502
254	171	501
255	172	500
256	172	499
257	173	497
258	173	496
259	173	494
260	174	493
261	174	491
262	174	490
263	175	488
264	175	487
265	175	485
266	176	484
267	176	482
268	177	481
269	177	480
270	178	479
271	178	478
272	179	477
273	179	475
274	179	474
275	180	472
276	180	471
277	180	470
278	181	468
279	181	467
280	182	466
281	182	465
282	183	463
283	183	462
284	183	461
285	184	459
286	185	461
287	186	460
288	186	459
289	187	458
290	187	456
291	187	455
292	188	454
293	188	453
294	189	452
295	189	451
296	190	450
297	190	448
298	191	448
299	191	447
300	192	446
301	192	444
302	192	443
303	193	442
304	193	441
305	194	440
306	194	439
307	194	437
308	195	436
309	195	435
310	195	434
311	196	433
312	196	432
313	197	431
314	197	429
315	198	428
316	198	427
317	198	426
318	199	424
319	199	423
320	199	422
321	200	421
322	200	420
323	200	419
324	201	418
325	201	416
326	202	416
327	202	415
328	203	414
329	203	412
330	203	411
331	204	411
332	204	410
333	205	409
334	205	408
335	206	407
336	206	405
337	206	404
338	207	403
339	207	402
340	207	401
341	208	400
342	208	399
343	208	398
344	209	397
345	209	396
346	210	396
347	210	395
348	211	394
349	211	393
350	211	391
351	212	390
352	212	389
353	213	389
354	213	387
355	213	386
356	214	386
357	214	385
358	215	384
359	215	383
360	215	382
361	216	381
362	216	380
363	217	379
364	217	378
365	217	377
366	218	376
367	219	376
368	219	375
369	219	374
370	220	373
371	220	372
372	221	372
373	221	371
374	222	370
375	222	369
376	223	368
377	223	367
378	224	367
379	224	366
380	224	365
381	225	364
382	225	363
383	225	362
384	226	361
385	226	360
386	227	359
387	227	359
388	228	358
389	228	357
390	228	356
391	229	355
392	229	354
393	229	353
394	230	353
395	230	352
396	231	351
397	231	350
398	232	349
399	232	348
400	232	347
401	233	346
402	233	346
403	233	345
404	234	344
405	234	343
406	235	342
407	235	341
408	236	341
409	236	340
410	236	339
411	237	338
412	237	337
413	238	337
414	238	336
415	239	335
416	239	334
417	240	334
418	240	333
419	240	332
420	241	331
421	241	330
422	241	330
423	242	329
424	242	328
425	243	327
426	243	326
427	243	325
428	244	325
429	244	324
430	244	323
431	245	322
432	245	321
433	246	321
434	246	320
435	247	319
436	247	319
437	248	318
438	248	317
439	249	318
440	250	317
441	251	316
442	251	316
443	252	316
444	252	315
445	253	314
446	253	314
447	254	313
448	255	313
449	255	312
450	256	312
451	256	311
452	257	310
453	258	310
454	258	309
455	258	308
456	259	308
457	259	307
458	260	307
459	261	306
460	261	305
461	261	304
462	262	304
463	262	303
464	262	302
465	263	301
466	265	302
467	265	302
468	266	301
469	266	300
470	266	299
471	267	298
472	267	298
473	267	297
474	268	296
475	268	295
476	268	294
477	269	294
478	269	293
479	270	292
480	270	292
481	271	291
482	271	290
483	271	289
484	272	289
485	272	288
486	273	287
487	273	286
488	273	286
489	274	285
490	274	284
491	275	284
492	275	283
493	276	282
494	276	282
495	276	281
496	277	280
497	277	279
498	277	279
499	278	278
500	278	277
501	279	276
502	279	276
503	279	275
504	280	274
505	280	273
506	281	273
507	281	272
508	282	272
509	282	271
510	283	270
511	283	270
512	284	269
513	284	269
514	285	268
515	285	267
516	286	267
517	286	266
518	286	265
519	287	265
520	287	264
521	287	263
522	288	262
523	288	262
524	289	261
525	289	260
526	290	260
527	290	259
528	291	259
529	291	258
530	291	257
531	292	257
532	292	256
533	293	255
534	293	255
535	293	254
536	294	253
537	294	252
538	294	252
539	295	251
540	296	251
541	296	250
542	296	249
543	297	249
544	297	248
545	298	247
546	298	247
547	298	246
548	299	245
549	299	245
550	300	244
551	300	243
552	300	243
553	301	242
554	302	242
555	302	241
556	302	240
557	303	240
558	303	239
559	303	238
560	304	238
561	304	237
562	305	236
563	305	236
564	306	235
565	306	235
566	306	234
567	307	233
568	307	233
569	308	232
570	308	232
571	309	231
572	309	230
573	310	230
574	310	229
575	310	228
576	311	228
577	311	227
578	312	226
579	312	226
580	313	225
